,type,districttype,tags,title,text
1253,written,,,Thank you to the Commission members!,This is the most important political development in our state in my almost 59 years of living here!  Thank you for your service.
1254,written,,,Suggestion for Drawing Fair Maps,"Dear Members of the Michigan Redistricting Commission,  Thank you for your commitment to public service and for the critical work you are doing as  members of the Commission.  And thank you for inviting input from the public.  I thought you might be interested in an updated version of the Guide to Redistricting which was prepared for citizens and members of redistricting commissions, as well as legislators and judges. The Guide now contains a section on Lessons Learned.  It discusses why Fair Maps are so important, and describes explicitly how to construct maps that eradicate gerrymandering. Maps for three states are presented where the districts are compact, contiguous and meet the population requirements. The maps provide representation for minorities and communities of interest, and attend to local jurisdictional boundaries. The maps produce legislatures which are competitive and representationally fair.  The maps are drawn so the party distribution of likely representatives matches the distribution of the state’s voting behavior.  Gerrymandering is eliminated and representative democracy prevails. https://preprints.apsanet.org/engage/api-gateway/apsa/assets/orp/resource/item/60ad2609f9118a6736fdb6a6/original/fair-and-square-redistricting.pdf (This work has garnered more than 1,200 views and 450  downloads on the Preprints Page of the American Political Science Association)  Respectfully and Gratefully Submitted,   James N. Fox "
1255,written,,,compactness,"Citizen engagement is far easier if districts can be described in simple words and use preexisting boundaries.  If my representative represented Northville, Plymouth, and Canton everyone would know who is in and outside of the district.  This would help elected officials (which parades to attend!).  It would help potential candidates.  It would help local officials (Northville would be represented by one representative, very neat.)  It would make it easier for voters to know their district. It would help activists promoting causes.  Lines should be preexisting and districts should be compact and to the extent possible using already existing cities and towns and neighborhoods.  If you need a map to figure out whom someone represents, it's not a good district."
1256,written,,"midland,gladwin",Keeping Midland and Gladwin Together,"Keeping Midland and Gladwin Together        My name is Anne Van Hulle and I live in Lincoln Township, Michigan which is in Midland County, with a Sanford mailing address. Tonight, I want to address the “communities of interest,” Midland county, Gladwin county, and the surrounding townships within District 4.      One year ago, these counties had suffered catastrophic, historic flooding that wiped out several businesses, destroyed numerous homes beyond repair and neighborhoods beyond recognition. Many in our communities lost everything!      The evacuation process during the disaster was a combined effort of our counties police, firefighters and EMT and how hard they worked—making it a priority to ensure the safety of the people evacuating the area and the transporting of patients from Mid Michigan Health facilities in Midland to other safe facilities throughout our counties. Retirement relocation decisions were easy to make for my husband and me. It was based on the amazing people and of course the recreational water amenities they had to offer. The Tittabawassee River being the largest watershed that flows through our counties and did provide endless hours of enjoyment.  But now priorities have changed since the floods. We are now in recovery and restoration mode and helping our businesses and citizens rebuilt so that they can stay in the counties they love and have lived in for so long. Therefore, I am asking the commission to consider these “communities of interest” of Midland/Gladwin county to remain intact in their existing district, District 4. This will allow the communities to continue their recovery together by working with their same local departments that they began with one year ago.  We will be strong again working together! God Bless and thank you for your time. "
1257,written,,,One important criteria for a map. ,This map fails the most basic criteria of all redistricting rules. 'Districts must be of equal population'  This is not possible to achieve exactly but for congressional districts 1% maximum deviation is acceptable. Current maps are  Congressional: less than 1% State Senate: less than 7% State House: less than 10% Population Deviation. for this map is above 30%
1258,written,,,Redistricting professor,"I would strongly suggest that you get advice from someone who studies redistricting professionally.  I can recommend Moon Duchin who was a postdoctoral scholar at the University of Michigan and is currently a professor at Tufts University in charge of the MGGG Redistricting Lab moon.duchin@tufts.edu https://mggg.org/people/mduchin/ In 2018, Governor of Pennsylvania Tom Wolf enlisted Duchin to help him evaluate newly drawn redistricting maps for fairness.  So she has experience working with states on their redistricting."
1259,written,,,Educational Communities of Interest ,"Joellen Pisarczyk 4119 Howe Place Howell MI – Former Teacher & Livingston County resident over 20 years.    EDUCATIONAL COMMUNITIES of interest include: Public, Private & Charter Schools as well as Homeschoolers, Adult & Senior programs. Collectively, these Educational Communities are highly interconnected by County resources, funding, facilities, businesses, support services, and serve shared values across a spectrum of needs within the county.    EDUCATIONAL COMMUNITIES are: By necessity of short commute times, GEOGRAPHICALLY CLUSTERED and interconnected and must be represented collectively.    Important Examples Educational Communities share:  1.	TRANSPORTATION – Under Michigan law, PUBLIC & PRIVATE schools SHARE local school bus service. Tax-payer funded community bus service (Livingston Essential Transportation Service) also provides essential student ACCESS.  2.	SHARED RESOURCES & SERVICES - TEACHING STAFF are often shared between public, private & Homeschool Groups. Courses in Music, Foreign Language, Advanced Placement classes, College Dual Enrollment, tutoring, College Admissions Test Preparation, Psychological & medical services, library & technology centers, Business & Industry collaborations for vocational experiences and internships are part of the county HUB of support. Two key examples include the Brighton Area Schools STEAM (science, technology, engineering, arts & mathematics) & ROBOTICS programs supported by local businesses such as General Motors and a host of other smaller businesses within the county. Special Needs Students also receive support services by the county Livingston Educational Service Agency (LESA), and through hands-on learning through sheltered workshops & local employers.   3.	EXTRACURRICULAR PROGRAMS - Athletic & Academic Clubs, Science Olympiad, Robotics, Adult Education, Performing Arts… are examples of groups who all interact on local fields, in stadiums, buildings, & community pools.   4.	FUNDING - Local & state tax revenue and local BONDS pay for the services, infrastructure, working capital, and program operating funds.    In summary: Oversight, funding, support, and public safety services are provided within the county for Educational Communities. Focusing district representation compactly within Livingston County will keep the Educational Community INTACT as a central HUB to provide for important and diverse student needs.  Thank you for your hard work on this process.   "
1260,written,,,Midland MI Community of Interest,"I am writing to express my opinion on the subject of redistricting. I ask that you maintain the community of interest of Midland County and the mid-Michigan region for the current 4th Congressional District, as well as the current  State Senate and State Representative lines for Midland.  7 Words.  Agriculture. Rural. Manufacturing. Employment. Education. Geography. Health. These seven words describe the connectedness, the linkage of Midland and MidMichigan.  Midland and mid-Michigan counties of Midland, Gladwin, Isabella, Gratiot, Clare and Saginaw are a community of interest linked with a rural heritage and a strong agricultural commonality throughout the mid-Michigan region.  Employment and Manufacturing. History of the  Dow Chemical Company in Midland and the plastic extrusion business in Gladwin have supplied good paying jobs for residents of Mid-Michigan for decades.  Let's not fracture this common linkage, this community of employment.  Education: There is a rich heritage of education connectedness in Mid-Michigan. Northwood University, Mid-Michigan Community College in Harrison, in Clare County; CMU in Isabella; Delta College's brand new Downtown Campus and SVSU which serves Mid-Michigan communities and was created by the communities of Midland, Saginaw and Bay.  Geography of mid-MIchigan and the Tittabawassee River watershed has always been a strong community of interest since the logging days, to the global manufacturing giant serving Midland and Gladwin and the neighboring counties.    The Tri-City airport, sometimes referred to as MBS for Midland-Bay-Saginaw serves a major transportation community of interest for Midland, Gladwin, Clare, Gratiot and Saginaw and Bay Counties.  More southern counties Genesee , Shiawassee, Lapeer, generally use a different airport in Flint-Genesee County, NOT the airport of Midland-Bay-Saginaw.  Hospital care and Health care is consistently delivered by Mid-Michigan Health Care throughout mid-Michgan, with hospitals and clinics in Midland, Gladwin, Mt. Pleasant, Clare, West Branch.  This is my ask:  please maintain the integrity, the history, the common interest of education, health care, employment, rural-agricultural linkage of Midland, Gladwin, Clare, Saginaw, Isabella, Gratiot counties.    I ask that you do not cut up, slice up, carve up, break up Midland and Mid-Michigan for narrow, political purposes.   Please maintain the current Congressional map of the 4th district which includes Midland and Gladwin, Isabella, Clare, Gratiot and Saginaw and the cohesiveness and linkage of these communities in the state senate and state representatives seats as well.   "
1261,written,,,seats consistent with state vote totals,"I helped with the campaign to establish the Independent Citizens Redistricting Commission. My prime motivation was a conviction that the balance of political power in Lansing should reflect the statewide vote totals. If Party A received 55% of the votes statewide, something is seriously wrong if Party B has majorities in both houses while receiving only 40% of the total statewide votes. These numbers are hypothetical.  I hope that after redistricting, the balance of power in the state house and senate accurately reflects statewide vote counts."
1262,written,,"dearborn,muslim,arabamerican",Testimony for Dearborn,"Hello,  My name is Sara and I’m a resident of Dearborn.   Redrawing our districts is an opportunity for communities to be  represented by someone who reflects their values, interests, culture, religion, and other important characteristics.  That individual will hopefully then fight on the community’s behalf and advocate for their best interest.  Nearly 80 percent of the estimated  278,000 residents in Michigan who identify as Arab American live in metro Detroit. A significant majority of them reside here in Dearborn.   A major concern is that those who of us who identify as Arab are not accounted for on Census, since it is not an official category. instead, we tend to fall into other categories that don’t necessarily represent our identities. With this, the unique needs and characteristics of our community go unaccounted for and overlooked.   As you deliberate on how to redraw these districts, I urge you to consider the collective identity and shared interests of our vibrant and resilient immigrant and Muslim communities.   Consider the importance of keeping districts that house major employers like Ford Motor Company, Beaumont, and Henry Ford Health system intact.   Consider our major academic institutions like the university of Michigan Dearborn and Henry Ford college, or cultural sites like the Arab American museum and Henry Ford museum, and the importance of advocacy for continued funding and support to encourage further growth.  "
1263,written,,,Heather's community,"My name is Heather Urbaniak.  I live in the city of Trenton in Wayne County.  Thank you for serving on this committee.    I am here today because recognize the importance of congressional districts that actually represent the majority of people that live in them.   This board has the opportunity to map districts that represent citizens with similar values and lifestyles.   My family participates in a homeschool partnership in a neighboring community. This organization has families of diverse backgrounds that come together to enrich the educational experiences of our children.  Our reasons for home education vary, though we generally agree that the state’s offerings are not meeting our needs and have different values than those of our family.  I have noticed the majority of our families choose to live in ways that align with Monroe county.  We seek time outdoors, attempt to grow or hunt our own food, participate in faith communities and look for ways to actively serve the less fortunate. Our professions include sales, engineers, auto assembly, truck drivers, bakers, artists, teachers and many more, but we come together in how we educate our children.   We choose where we live for a purpose.  Sharing our lives with people of different backgrounds and the same values.  Please consider the right of citizens to elect persons that represent local values and understand local issues. Not being overwhelmed by more densely populated and geographically smaller portions of a district.   Thank you for your time.   "
1264,written,,"canton township,woman,senior,concerned citizen",let be fair about setting districts,"Districts should reflect the population, not accommodate a political party's chances of capturing electoral votes. Redistrict based on population and then, every 10 years based on census records, redistrict to reflect changes in where Michigan residents live and vote.  I lived in Farmington Hills for many years and the voting districts changed constantly to favor the political party in power.  The district boundaries made no sense other than to skew the outcome of upcoming elections. Do something to safeguard the integrity of our elections.  I am not referencing voter fraud, the gerrymandering is a political fraud game that is detrimental to the democratic process. "
1265,written,,"wmu ,oshtemo township",Restricting Oshtemo with WMU's Campus,"I would like to urge the Commission to redistrict Oshtemo with WMU's campus. This is for two main reasons: better representation of identities and to ensure all WMU student's voices are heard. Redistricting Oshtemo with WMU's campus would give a more diverse population of voters. This is crucial because people of all races, genders, and sexual orientations should have a say in what goes on in their community. Many WMU students reside in Oshtemo. Not being able to vote on things that directly affect WMU is taking away student's voices. I once again urge the Commission to redistrict Oshtemo with WMU's campus. Thank you."
1266,written,,,Public Comment For 6/27/2021 Session In ,"To: The members of the Michigan Citizens Redistricting Committee.  I was unable to attend the public information session in Lansing this evening (6/27/2021). I did attend via Zoom. What follows are my comments to be added to the public comment section of the Lansing session.  I was an independent applicant for the MICRC. It is exciting to see the Commission in action. Had I been selected, my priorities for drawing district boundaries would have been, in the following order, as follows:  1.  House, Senate and Congressional districts boundaries should be drawn in such a manner that each district would be as competitive as possible. I don't know that there wouldn't be some district that would remain safe for one party or the other but the best effort would be put forth to make safe districts as competitive as possible.  2.  Geographical considerations: As an example, for the tri-county area of Ingham, Eaton and Clinton Counties: With Lansing and East Lansing being strongly Democratic leaning and the surrounding areas more Republican leaning, it would be necessary to draw district that include both city and outlying areas for the purpose of competitiveness, while observing district population requirements. I would also do my best to draw district boundaries to increase diversity within districts.  3.  Communities of Interest would be my lowest ranked priority for drawing district boundaries. My consideration for a Community of Interest would be, i.e., populations that are or most likely to be disenfranchised. They would include black, indigenous or other people of color. I would also consider populations that might include a concentration of individuals  who suffer physical or mental deficiencies.  There were many rural presenters at tonight's public comment session. Almost all gave similar requests, to keep their rural  districts intact. In many of their requests I heard, ""Keep my safe Republican district safe"". Moreover, it sounded like, ""Keep my district socially, ethnically and racially pure"". Whether I am being overly judgmental or not, their reasonings for drawing district boundaries would have no bearing on how local units of government function nor their jurisdictions. I was not convinced by any of their arguments.  I have lived in the Lansing area for 41 years. I am also a member of Voter Not Politicians, the driving force behind why each of you have been chosen to undertake the supremely important task of fairly drawing district boundaries. I am, however, from Munising, a small town in the central Upper Peninsula, home of the Pictured Rocks National Lakeshore. I do have an affinity for rural populations. My only interest here however, is ensuring that every legally cast vote in Michigan is a meaningful expression of that voters voter's Constitutional right, to choose those elected servants who will represent their personal best interest."
1267,written,,dearborn's arabic community,"Maintaining A ""Community of Interest""","I am a long-time Dearborn resident. I appreciate this new, more fair system of redrawing the congressional districts! After the 2000 Census, the City of Dearborn was cut in half (east and west)! This diminished the voice of the city and the Arabic Community within its borders. Please consider the Arabic Community in Dearborn as a ""Community of Interest"", and keep it intact. Please consider the City of Dearborn also and do your best to keep it intact.  Thank you.  Carmen Kossayda Gudan"
1268,written,,dearborn city,9th state house district,I am a former candidate for state representative district 9. Doing my time running office I've walked and spoke with thousands of residents in State House district 9. One thing that was very clear to me with how silly it was for most of the district to cover the west side of Detroit which makes sense but then for three communities in the city of Dearborn to be part of the district as well. All of the residents of Dearborn are better served when they are represented by one state representative. I would like now to turn to communities of interest. I also currently work for Dearborn public schools as a special education paraprofessional. We receive students not just from the city of Dearborn but some from Dearborn heights. I think it makes sense that as you draw districts for every map that the city of Dearborn in Dearborn heights should be in the same districts.
1269,written,,se michigan ,Why Voters Voices Matter,"Since 2001 (2 gerrymanders ago), Republicans have won the popular vote for the state House 3 times (2002, 2010, and 2016), but they have won a majority of seats 8 times. ○ That means that in 5 out of the 10 elections so far this century, Michigan voters have overwhelmingly voted for Democratic candidates, but due to the Republican sleight-of-hand, the exact OPPOSITE has happened. ● Voters should be choosing their politicians, not the other way around. I strongly urge the commission to fulfill its duties in good faith to meet the ultimate goal of determining fair districting for the state legislature and U.S congressional districts. Free and fair elections are the cornerstone of a healthy democracy, and redistricting a heavily gerrymandered Michigan to accurately represent its constituents and communities, will allow our great state to truly represent the will of its people."
1270,written,,lansing,Greater Lansing is a Cohesive Area,"The greater Lansing area encompassing Dewitt to the north, Grand Ledge to the west, Meridian to the east and South Lansing into Holt to the south should all be considered part of the Lansing Metro area. Everyone there is anchored by Michigan State University, Sparrow or McLaren Medical, access to the Capital Area Transit Authority, employment for the State of the Michigan, and connected by US 127, I-496, I-69, and I-96 to the county border.   I live in this area, yet my state senate and congressional districts are gerrymandered in a way that I am over an hour's drive to the end points of the map as currently drawn. I l believe there is a cohesive way to redraw the districts so that it is more easily traversable.  "
1271,written,,,Richard's Allegan-Van Buren County Plan,"My name is Richard Godfrey and I serve as Chair of the Van County Board of Commissioners, President of Bloomingdale Communications, and I am a retired College Statistics professor.   My request is for this Commission to retain the Senate district comprised of Allegan and Van Buren Counties.  Van Buren and Allegan Counties have collaborated on many joint ventures for decades.  Our latest governmental joint venture is a shared Public Defender's Office which saves our taxpayers money.  Another recent venture is a shared Veterans' Treatment Court which is a great service to the troubled veterans of both counties.  We could not have offered this service to our veterans as individual counties but together we could.  Bloomingdale Communications is a small Broadband, TV, and telephone provider which serves both counties.  The Company is currently building high speed internet in the sparsely populated rural areas of both Allegan and Van Buren Counties.  Our Counties are primarily rural small town communities with similar interests.  Together we are the Blueberry Capital of Michigan and Michigan is the Blueberry Capital of the Nation.  Let's keep them in the same senate district."
1272,written,,,"Deborah Burke, Detroit",I’d like to encourage the commission to use the math models that are already out there to re-draw  the districts. They are the BEST and only fair way to draw districts. These math models have been tested in other states. Math models will decrease conflict within the commission and increase confidence with voters. 
1273,written,,,Overcoming Division,"To the Members of the Committee,   As I suspect you are well aware, gerrymandering is deeply implicated in current partisan divisions and the fostering of toxic political discourse. When districts are ""safe"" for either party, there is no necessity for political candidates to court the other side and no incentive for compromise. The result is politicians with more extreme positions and no interest in working across the aisle. I urge you to focus in redistricting on creating to the fullest extent possible districts with politically mixed allegiances to avoid this situation. We need representatives who must think in terms of all the Michiganders they represent, not just their base; who are willing to compromise and work across the aisle; and who can be held accountable for malfeasance and untruths. To achieve this, we must work together to end gerrymandering.  Sincerely,  Jeffrey Weinstock Rosebush, MI"
1274,written,,,Michigan Redistricting,Can the redistricting Team just take the KISS approach as we do in our work environment.    It seems like it should be such a simple process to create districts that have relatively simple geometric shapes...like a rectangle...rather than districts that looks like something from a fractal geometry algorithm.  
1275,written,,,Gerrymandering concerns,"I would like there to be no gerrymandering. Districts should be as close to a square or rectangle as possible with no regard to areas with high populations of either political party, which I believe is currently more common in large cities or certain geographical areas of the state. While certain areas will have smaller geometric shapes because of dense populations, it still should be made to resemble simple shapes and not try to capture political party advantages by gerrymandering which certainly currently exists in Michigan. "
1276,written,,,Draw lines that follow obvious borders,"I would like to see lines drawn keeping cities together and drawn following major roads. For instance east of Woodward, West of Rochester Road, North of 8 mile and south of 14 mile.  Or Birmingham and Bloomfield cities.  Royal Oak and Ferndale cities.  Odd shaped districts that fail to follow existing road or city boundaries is hard to follow and divides neighborhoods, causing some citizens to feel left out.  "
1277,written,,,Keep the design simple,"After reviewing the current map of districts, I believe the best system would be to use existing county lines. This prevent cherry picking around concentration of areas, that either party may want to use to their advantage. Most people are not aware of their district may be a different one across the street, in the same county. If you must split a county in half due to population concentration, use the same distribution of the county for the added townships."
1278,written,,,Livingston County State House Districts,"The Cities of Brighton and Howell belong together: they are the relatively dense urban center of the County, defined by the Grand River Avenue corridor. More than 80% of retail stores and professional offices in the County are on or just off Grand River Avenue. The southeast part of the County is closely tied to Ann Arbor, to which many residents commute on US 23. The northwest part is as close (and sometimes closer) to both Novi and Lansing as to Ann Arbor. There is almost no farmland in the southeast, but a great deal of it in the northwest.  The urban/suburban versus rural split could not be clearer.  Because of population growth since 2010, Livingston County no longer fits in just two House districts. Nor does it need to: Unadilla and Iosco Townships are closely tied to Ingham County by the fact that residents’ children attend Stockbridge schools. With those two townships pulled out, the County splits nicely into two equal-population districts, one urban/suburban and one rural. You could call each of these a Community of Interest, I suppose, though the concept seems arbitrary and squishy to me.  I would like to attach a map that I drew using Dave's Redistricting that shows how two State House districts could be drawn to express that split.  I do not see how to do that.    "
1279,written,,,Start From a Clean Sheet,"This Commission needs to start from scratch. We know that the current maps are part of a Republican gerrymander.  How do we know that?  Because in a typical post-2006 election year, Democrats have won 47-54% of the popular vote statewide yet have never held more than 43% of the House seats.  In Livingston County, where since 2018 Democrats have won 35-43% of the county-wide vote in partisan races, they have won ZERO% of the seats.   Your job, as I see it, is to draw new maps that result in more contested districts. Safe seats are places where politicians don’t have to represent almost half of their constituents. That’s why Michiganders voted for Prop 2 – they are tired of politicians who don’t represent them. "
1280,written,,,#EatonCounty,"As a 40+ year resident of #Eaton County, my children have attended the schools in Eaton County, I shop in the Eaton County, I worship in Eaton County and I have served on #Delta Township committees in Eaton County. The needs of the residents in our county are much different than the needs in   larger metropolitan area, and it is for this reason I hope you consider keeping Eaton County #rural and not grouped in with larger communities, with much different needs. I don't want to lose our voices on the needs we have in a more rural county by being group with a larger populace county. Thank you for your consideration. Kim Laforet "
1281,written,,,Redraw Tri-County districts from scratch,"It is a joke that congressional districts 9, 11, 12, 13, and 14 have borders that are all twisted and deformed.  These districts must be redrawn to be mostly square or rectangular shapes.  These five districts must also be redrawn to be four districts, since Michigan is losing one.  Thank you. Nawra Hali Sterling Heights MI"
1282,written,,,Congress NEEDS to reflect all MI voters,"I am interested in districts that will firmly support a State congress that reflects the voters of our entire State. For example, currently, we have Democratic Governor, Lieutenant Governor, Secretary of State, and Attorney General. These races were won by a majority vote of all the voters in Michigan. However, both chambers of our State legislator have a Republican majority. These races were won within smaller districts. Thus, our State congress reflects the majority of voters in these districts, but not the State as a whole. Our State congress NEEDS to reflect the voters of the entire State. Please make this your #1 priority as you draw the new district lines. Thank you. "
1283,written,,,Sensible districts,"I am very pleased that Michigan citizens voted for an Independent Citizens Redistricting Commission, and appreciate the work the Commission will do. Thanks to the prior gerrymandering system, many Michigan congressional districts are exceedingly odd shapes in order to avoid competitive elections. I somehow kept the same congressperson when moving from Grand Rapids to the east side of Calhoun County, despite being nearly two hours away and closer to cities like Kalamazoo and Battle Creek. No District 3 congressperson has to pay the least amount of attention to anyone outside of Grand Rapids, because that's by far the population center, and the district has been safely Republican for decades. District 3 is far from the only example of this inequitable gerrymandering in Michigan, and I thank the Commission for working to correct this problem."
1284,written,,detroit city,"square compact, and equal districts ","I live and work in Detroit, it is my community of interest.     I think it is appropriate and just that districts are square and compact and divided equally. "
1285,written,,,Genesee/Oakland/Livingston County Area,"Hello Chairperson Kellom and fellow commissioners, My name is Dave Nance and I live in Fenton Township in Genesee County. I've lived in the Fenton area for 31 years. We've raised our family there.  Fenton Township and the surrounding cities and townships in the Fenton, Heartland, Holly, Linden and Grand Blanc areas are my ‘Communities of Interest’.  We've sent our kids to school there, worked and shopped there, as well as enjoyed the local community parks and facilities. These basic elements of our daily lives are central to our wellbeing. To draw district lines that separate out parts of this region wouldn’t contribute to the benefit of life in the area, it will actually tend to isolate that separated piece.  I don't believe this would be beneficial to me, my family or the other citizens of our local area. From a development sense, these areas tend to run together. When you leave the region, you're traveling into farms and countryside. This is somewhat like a boarder to the area, overall.  My description probably sounds much like that of other citizens' ‘Communities of Interest’. With that in mind, I'd like to make my next point. I believe this to be very important. That is, keeping our districts somewhat square in shape. I believe many others may think as I do. That given choices, per our means and other factors, we select an area to reside in that satisfies our needs and wants. That location is now at the center of where we want to live our lives. District mapping should reflect the inherent notion that we as citizens have ‘centered’ our lives in the midst of an overall area. Typically a location not related to some other area way off, say two or three counties away. I would most like all three of the maps to follow this same layout principal.  And so again, my ‘Communities of Interest’ that are Fenton Township, and the Cities of Fenton, Heartland, Holly, Linden and Grand Blanc are of most importance to me and my family. We would like all three of the defined districts to line up as 'one' as much as possible when they are finally determined.  Thank you for your time and dedication to integrity with respect to the redistricting project.   Have a great evening.  "
1286,written,,,Sherie Boss,"Hello, my name is Sherie Boss, and I have resided in Saginaw Township in Saginaw County for 12 years. My husband grew up here and his extended family have been in the township for 55 years. My husband and I are raising 8 sons in Saginaw Township and have educated our children through the Saginaw Township Community School district.  Saginaw County is currently split between the 4th and 5th Congressional Districts. I have peers and friends through my school and church community throughout the county, and have found this division to be confusing and divisive. When I look at the current lines of our district, it does not feel like a community that I belong to - just a narrow puzzle piece of neighborhoods that happen to be adjacent on a map. Please do your best to keep the counties undivided in their districts.  Please consider Saginaw Township, the city of Saginaw and Saginaw County to be our community of interest.  I thank you for taking on this enormous, difficult task that lays before you. I see this as an opportunity to simmer the divisive culture that exists in our political sphere at this time. Thank you for doing your best to serve the interests of all. "
1287,written,,"saginaw,local neighborhood,saginaw township,saginaw county",Martha's talk at Flint MICRC 6/1/21,"My name is Martha Hines. For the past 34 years I have resided in Saginaw Township in Saginaw County. As a Michigan citizen, I am grateful for the opportunity to participate in this public meeting regarding the redistricting process. Thank you, Chair of the Commission, Brittni Kellogg, and all of you who are giving time and effort as members of this commission. It is a significant task you have been assigned, and I pray you will be successful in accomplishing it with integrity, skill, and timeliness. I am a resident of Saginaw County, which is split between the 4th and 5th US Congressional Districts. This is very confusing and cumbersome when it comes to elections, both for candidates and voters. Please try to keep our counties across the state undivided. My husband and I have raised 7 sons in Saginaw Township, including our youngest who is a special-needs young adult. His schooling and special services are all centered within Saginaw County and fall within the Saginaw Intermediate School District. Here in Saginaw Township, we are blessed to have a wide variety of ethnic backgrounds represented in the homes on our street. What binds us together most of all is our physical proximity in our neighborhood. We are neighbors, and our neighbors are our friends. Our church is local, within our community. Our work in the field of medical care is local, within our city. Our schools are important to us. Please, PLEASE, consider our Saginaw Township, city of Saginaw, and Saginaw County to be our ""Communities of Interest."" Please make the geographical boundaries concise and compact. Please help us to have strong, cohesive neighborhoods and communities so we can have a stronger, more productive state for our families. Thank you. "
1288,written,,,Testimony to the MICRC,"Dear Chair Kellom and members of the Michigan Independent Citizens Redistricting Commission:  My name is David Robertson, 5511 Wakefield Rd., Grand Blanc, Michigan, 48439. I am a lifelong resident of Genesee County and have lived in Grand Blanc Township for the past 33 years. I currently serve as Clerk for the Charter Township of Grand Blanc.  I appreciate the opportunity to offer my testimony to this Commission. I want to thank you for efforts on behalf of the people of the State of Michigan. I share your goal of creating a fair, legal and constitutional redistricting plan at both the state and federal level.  Having spent my entire life in Genesee County, there can be no question that for me, Genesee County in general, and Grand Blanc Township in particular, is my community of interest. I encourage you to view them similarly. As a Commission you have been charged with defining “community of interest”. I believe a proper definition must include a respect for county, city and township boundaries. While the crossing of municipal boundaries is part of the process to be sure, it should be kept to a minimum. The charge this Commission has been given by the Michigan Constitution requires an emphasis be placed upon geographic contiguity and compactness along with and with your definition of community of interest.  Simply put, the legislative and congressional maps should appeal to common sense in the way in which they are drawn.   As Township Clerk, charged by statute with the proper administration of elections, I simply wish to remind the Chair and members that with each municipal and county boundary crossed, brings increased complexity, increased potential for human error, and increased cost to Michigan taxpayers.   Again, I want to thank you, Chair Kellom, and the other Commission members for your work on the Michigan Independent Citizens Redistricting Commission. I have every confidence you will succeed in your task of bringing about a fair, legal and constitutional redistricting plan for the people of our Great State of Michigan.  Respectfully submitted,  David B. Robertson Grand Blanc Township Clerk "
1289,written,,"livingston,livingston county,brighton city,green oak township",Please redraw districts from scratch,"Dear Michigan Independent Citizens Redistricting Commission:  Thank you for your efforts to serve our state as members of this important commission. I live near Brighton, in Green Oak Township in Livingston County, and I truly appreciate the time you are putting into this important endeavor.  Rather than relying on old legislative maps, I urge you to start fresh and redraw new districts from scratch. This will ensure that elected officials better reflect the will of their constituents, and result in more fair representation of residents, and the various communities of interest, throughout the state.  Livingston County is one of the fastest growing counties in the state, and we have both rural and urban communities of interest. The Grand River corridor, which follows I-96, is one important community of interest that connects Brighton and Howell from the more rural areas of the county. U.S. 23 is another community of interest that ties Brighton and Hartland with Ann Arbor. These urban areas have much more in common than they do with the rural areas and I believe they should be kept together.  Thank you for soliciting input through public hearings. I strongly support the redrawing of district maps that are fair and competitive, and that all the views of all voters to be fully represented.  Best regards, Janice Karlovich Brighton, MI 48116 "
1290,written,,"livingston,marion township",Kasey Helton Redistricting Comments,"I Live in Michigan’s 47’s house district currently. I believe that we need to start from scratch completely with our district lines, which includes rural areas like mine. I believe if we retain some of the current structure, then we will have a built-in bias from previous gerrymandered districts, which will counteract all of the goals that citizen lead redistricting is trying to reach. The primary goal is of course having voters choose their politicians and not the other way around.  Evidence that these biases exist are shown in the fact that one party won the popular vote in 2020 but did not win the majority of seats. If we keep the foundations of the old lines intact, Then we will continue to see this pattern regardless of who has the majority in Lansing.   We must begin to make our districts more competitive so that voters who live in districts like mine are not ignored. Right now gerrymandering has created a tailor-made district Design to disqualify my concerns as a citizen. These types of districts exist all over the map for both political parties and that’s what we need to eliminate.   Specifically for my district, One community of interest to keep in mind for the 47th and it’s counterpart, the 42nd, Is to combine the entire Grand River business corridor in Livingston County into one district. The map currently divides this very significant place where people shop, run businesses, go to schools, go to work, into two divided districts. As it currently stands, If you want to travel from east to west in my county, Grand River is the road you take. It makes no sense to have this area divided into two congressional districts when they have so much in common from a business and community standpoint.   Thank you.  "
1291,written,,upper peninsula,UP redistricting,"Hello Commissioners: I attended the public hearing in Marquette on May 18th. As one of the local citizens involved in getting Proposal 2 passed in 2018, I completely understand the importance of citizen input to the redistricting process. After listening and learning a variety of perspectives at the public hearing, I now advocate that the districts be drawn to reflect the east-west major highways and the lakeshore communities of the Great Lakes.  The attached map (which has already been submitted by one of my peers) sums up my input quite well:  For starters, Powell Township and Ishpeming Township (both in Marquette County) definitely need to be ""drawn back"" into our community, which is Marquette County. This was a major theme at the public hearing as you will recall and is very logical. Additionally, it makes sense to me to keep Lake-Superior-bordering areas together, Lake-Michigan-bordering areas together, and then let the far western Upper Peninsula be banded together. I agree that Marquette, Alger and Baraga are a community of interest and that the citizenry belong together as much as possible.     Below is the map. I hope that including it here in the Testimony will suffice. If not, please contact me.  https://districtr.org/plan/22360"
1292,written,,grandrapids,meeting in GR?,will you be meeting in GR?
